"field","base","count","sample"
"name","name","10504","app\Console\Commands\EnsureWebsiteAdminUsers.php:3; app\Console\Commands\EnsureWebsiteAdminUsers.php:16; app\Console\Commands\EnsureWebsiteAdminUsers.php:76; app\Console\Commands\EnsureWebsiteAdminUsers.php:93; app\Console\Commands\EnsureWebsiteAdminUsers.php:106; app\Console\Commands\EnsureWebsiteAdminUsers.php:172"
"operating_days[]","operating_days","21","app\Http\Controllers\TransactionController.php:2610; app\Http\Controllers\WebsiteController.php:173; app\Http\Controllers\WebsiteController.php:174; app\Http\Controllers\WebsiteController.php:261; app\Http\Controllers\WebsiteController.php:443; app\Http\Controllers\WebsiteController.php:444"
"operating_end_time","operating_end_time","26","app\Http\Controllers\TransactionController.php:2588; app\Http\Controllers\WebsiteController.php:176; app\Http\Controllers\WebsiteController.php:263; app\Http\Controllers\WebsiteController.php:446; app\Http\Controllers\WebsiteController.php:536; app\Models\Website.php:36"
"operating_start_time","operating_start_time","26","app\Http\Controllers\TransactionController.php:2587; app\Http\Controllers\WebsiteController.php:175; app\Http\Controllers\WebsiteController.php:262; app\Http\Controllers\WebsiteController.php:445; app\Http\Controllers\WebsiteController.php:535; app\Models\Website.php:35"
"package_button_text","package_button_text","30","app\Http\Controllers\WebsiteController.php:255; app\Http\Controllers\WebsiteController.php:528; app\Models\Website.php:26; resources\views\index.blade.php:5476; resources\views\index.blade.php:5495; resources\views\index_two.blade.php:5971"
"package_section_subtext","package_section_subtext","23","app\Http\Controllers\AffiliatePublicController.php:126; app\Http\Controllers\EntertainerPublicController.php:123; app\Http\Controllers\WebsiteController.php:165; app\Http\Controllers\WebsiteController.php:230; app\Http\Controllers\WebsiteController.php:438; app\Http\Controllers\WebsiteController.php:549"
"package_section_title","package_section_title","24","app\Http\Controllers\AffiliatePublicController.php:125; app\Http\Controllers\EntertainerPublicController.php:122; app\Http\Controllers\WebsiteController.php:164; app\Http\Controllers\WebsiteController.php:229; app\Http\Controllers\WebsiteController.php:437; app\Http\Controllers\WebsiteController.php:548"
"package_tab_color","package_tab_color","17","app\Http\Controllers\WebsiteController.php:257; app\Http\Controllers\WebsiteController.php:530; app\Models\Website.php:28; resources\views\index.blade.php:5383; resources\views\index_two.blade.php:5878; resources\views\checkout_templates\template1\index.blade.php:5384"
"package_tab_icon","package_tab_icon","27","app\Http\Controllers\WebsiteController.php:258; app\Http\Controllers\WebsiteController.php:531; app\Models\Website.php:29; resources\views\index.blade.php:5474; resources\views\index.blade.php:5493; resources\views\index_two.blade.php:5969"
"package_tab_ribbon","package_tab_ribbon","47","app\Http\Controllers\WebsiteController.php:259; app\Http\Controllers\WebsiteController.php:532; app\Models\Website.php:30; resources\views\index.blade.php:5470; resources\views\index.blade.php:5471; resources\views\index.blade.php:5489"
"package_tab_subtitle","package_tab_subtitle","31","app\Http\Controllers\WebsiteController.php:167; app\Http\Controllers\WebsiteController.php:256; app\Http\Controllers\WebsiteController.php:440; app\Http\Controllers\WebsiteController.php:529; app\Models\Website.php:27; resources\views\index.blade.php:5477"
